a bad egg,sözünde durmayan
samlet,yavru alabalık
Samos,Sisam adası
Samothrace,Semadirek adası
samovar,semaver
sample bottle,numune şişesi
sample size,numune büyüklüğü
sample,örnek
sampler,numune alıcısı
sampling error,örnekleme hatası
sampling spoon,numune kaşığı
sampling tube,numune tüpü
sampling,örnekleme
samurai,Japon savaşçısı
sanatarium,bkz.sanatorium
sanative,sağlığa yararlı
sanatorium,sanatoryum
sanatory,şifa verici
sanctification,kutsama
sanction,onay, kabul etmek, izin vermek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sand asphalt,kum asfaltı
sand bath,kum banyosu
sand box,kum kutusu
sand catcher,kum tutucu
sand filter,kum filtresi
sand fly,tatarcık
sand grouse,bağırtlak
sand martin,kum kırlangıcı
sand pit,kum ocağı
sand pump,kum pompası
sand screen,kum eleği
sand smelt,gümüş balığı
sand,kum
sand-dune,kumul
sandal,sandal
sandalwood,sandal ağacı
sandbank,kumsal sığlık
sandbar,kıyı dili
sandblast,kum püskürtmek
sandbox,kumluk
sandcastle,kumdan yapılan kale
sander,zımpara makinesi
sanderling,deniz çulluğu
sandfly fever,tatarcık humması
sandfly,tatarcık
sandglass,kum saati
sandiness,kumlu olma
sanding machine,zımpara kılgası
sandpaper,zımpara kâğıdı
sandpiper,su çulluğu
sandpit,(uşaklar için) kum havuzu
sands,kumsal
sandstone,kumtaşı
sandstorm,kum fırtınası
sandwich film,sandviç film
sandwich,sandviç
sandy marl,kumlu marn
sandy,kumlu
sane,aklı başında
saneness,akıllılık
sanforizing,sanforizasyon
sangfroid,özüne hakimiyet
sanguification,kan oluşumu
sanguinary,(savaş/vb.) kanlı
sanguine,umutlu
sanguineous,sanguin
sanidine,sanidin
sanies,kanlı irin
sanitarian,sağlıkla ilgili
sanitarium,sanatoryum
sanitary napkin,âdet bezi
sanitary towel,âdet bezi
sanitary,sağlığa ilişkin
sanitation,sağlık koruma
sanitize,sterilize etmek
sanitorium,bkz.sanatorium
sanity,akıl sağlığı
sanserif,düz harfler
sap,besisuyu, altını kazmak, çökertmek, azaltmak, zayıflatmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sapid,lezzetli
sapidity,çeşni
sapience,akıl
sapling,fidan
saponaceous,sabun gibi
saponifiable,sabunlaşır
saponification,sabunlaşma
saponify,sabunlaşmak
saponin,saponin
saponite,saponit
sapphire,gökyakut
sapphirine,safirin
sappy,özlü
sapro-,(önek) çürük
saprogenic,çürüten
saprophile,çürükçül
saprophyte,çürükçül
saprophytic,çürükçül
sapwood,yalancı odun
sarcasm,acı alay
sarcastic,iğneleyici
sarcolemma,kas zarı
sarcoma,sarkom
sarcophagous,etobur
sarcophagus,lahit
sarcoplasm,sarkoplazma
sard,bir tür kuvars
sardine,sardalya
sardonic,acı
sardonyx,kırmızı akik
sari,sari
sartorial,terziliğe ait
sash,kuşak
Satan,şeytan
satanic,şeytan gibi
satanism,şeytana tapma
satchel,sırtta taşınan okul çantası
sate,gidermek
sateen,saten taklidi pamuklu kumaş
satellite broadcast,uydu yayını
satellite communications,uydu iletişimi
satellite computer,uydu bilgisayar
satellite office,uydu şube
satellite station,uydu istasyonu
satellite television,uydu sınalgısı
satellite town,uydukent
satellite,uydu
satiable,doyurulabilir
satiate,doyurmak
satiety,doymuşluk
satin wood,Hint ağacı
satin,saten
satinet,satinet
satinwood,Hint ağacı
satiny,saten gibi parlak
satire,taşlama
satirical,taşlamalı
satirist,taşlamacı
satirize,taşlamak
satisfaction,memnunluk
satisfactory,doyurucu
satisfy,memnun etmek, ikna etmek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
satisfying,doyurucu
satsuma,bir tür ufak portakal
saturable,doyurulabilir
saturant,doyuran
saturate,doyurmak
saturated compound,doymuş bileşik
saturated layer,doymuş tabaka
saturated solution,doymuş çözelti
saturated,doymuş
saturation point,doyma çekidi
saturation,doyma
Saturday,cumartesi
Saturn,Satürn
saturnalia,sefahat âlemi
saturnine,gülmez
satyr,gövdesinin yarısı insan yarısı teke olan tanrı
satyriasis,şehvete düşkünlük
sauce,salça, yüzsüzlük etmek, arsızlık etmek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saucepan,kulplu tencere
saucer,çay tabağı
sauciness,sırnaşıklık
saucy,saygısız
Saudi Arabia,Suudi Arabistan
sauna,sauna
saunter,sallana sallana yürümek
sausage roll,sucuklu sandviç
sausage,sucuk
savage,yabanıl, tepesi atmış, gözü dönmüş, vahşi adam, zalim, acımasız, gaddar adam, saldırıp ısırmak, paralamak, parçalamak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
savagery,acımasızlık
savanna,ağaçsız büyük ova
savannah,bkz.savanna
savant,bilgin
save face,zevahiri kurtarmak
save for,hariç
save on,israfından kaçınmak
save ones breath,çenesini yormamak
save ones skin,postu kurtarmak
save,kurtarmak, -den başka, hariç,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
save-all,şerbet tutucu
saver,kurtarıcı
saving fund,tasarruf sandığı
saving,koruma
savings account,tasarruf hesabı
savings bank,tasarruf bankası
savings bond,tasarruf bonosu
savings deposit,tasarruf mevduatı
savings rate,tasarruf oranı
savings,birikmiş para
saviour,kurtarıcı
savoirfaire,beceri
savor,bkz.savour
savory,(Aİ) bkz.savoury
savour,tat
savourless,tatsız
savoury,(et/peynir/sebze/vb.) çok tatlı olmayan
savoy,bir tür kış lahanası
savvy,çakmak
saw blade,testere ağzı
saw file,testere eğesi
saw horse,testere tezgâhı
saw log,kereste kütüğü
saw pit,bıçkı çukuru
saw set,çapraz
saw,testere
sawbones,cerrah
sawdust,talaş
sawfish,testere balığı
sawfly,yaprakarısı
sawmill,bıçkı fabrikası
sawtooth,testere dişi
sawyer,bıçkıcı
saxifrage,taşkırançiçeği
saxophone,saksafon
say ones piece,diyeceğini demek
say right to sbs face,yüzüne karşı söylemek
say the word,izin vermek
say uncle,pes demek
say,demek
saying,söz
scab,yara kabuğu
scabbard,(kılıç/vb.) kın
scabbiness,kabukluluk
scabies,uyuz
scabious,uyuzlu
scabrous,kabuk bağlamış
scaffold,yapı iskelesi
scaffolding,yapı iskelesi malzemesi
scagliola,alçıdan yapılmış mermer taklidi
scalage,çekme payı
scalar,skaler
scald,haşlamak
scalding trough,haşlama teknesi
scale buying,toptan satın alma
scale insect,kabuklu bit
scale off,pul pul dökülmek
scale,terazi gözü, gam, skala, ıskala, derece, kademe, balık/yılan/vb.pulu, taş, kefeki, tortu, tırmanmak, çıkmak, tartmak, (belli bir orana göre) artırıp düşürmek, dengelemek,,,,,,,,,,,,,,,,,,,,,,,,,,
scale-of-ten,ondalık skala
scale-of-two,ikili skala
scaled,pullu
scaleless,pulsuz
scalene cone,eğik koni
scalene muscle,skalen kası
scalene triangle,çeşitkenar üçgen
scalene,çeşitkenar
scaler,kantarcı
scales,tartı
scaling,pullarını çıkarma
scall,kepek
scallion,yeşil soğan
scallop,tarak
scallywag,başbelası
scalp,kafa derisi
scalpel,küçük bıçak
scaly,pulsu
scam,dolap
scamp,hızla koşmak
scamper,koşuşturmak
scampi,büyük karides (yemeği)
scan,inceden inceye gözden geçirmek
scandal,skandal
scandalize,rezalet çıkarmak
scandalous,rezil
Scandinavia,iskandinavya
Scandinavian,İskandinavyalı
scandium,skandiyum
scanner,tarayıcı
scanning coil,tarama bobini
scanning disk,tarama diski
scanning line,tarama çizgisi
scanning,tarama
scant,az
scanties,bayan külotu
scantiness,kıtlık
scantling,küçük kereste
scanty,az
scape,sütun gövdesi
scapegoat,başkasının suçunu yüklenen kimse
scapula,küreksümüğü
scapular,küreksümüğüyle ilgili
scar,yara izi
scarab,bokböceği
scarce commodity,nadir bulunur mal
scarce,nadir
scarcely,güç bela
scarceness,kıtlık
scarcity,azlık
scare away,korkutup kaçırmak
scare off,korkutup kaçırmak
scare stiff,ödünü patlatmak
scare the living daylights out of,duman attırmak
scare,ani korku
scarecrow,bostan korkuluğu
scared,korkan
scarf,eşarp
scarfing,kusur yakma
scarification,deriyi kazıma
scarifier,tırmık
scarify,kazımak
scarlatina,kızıl
scarlet fever,kızıl
scarlet woman,orospu
scarlet,al
scarp,uçurum
scarped,dik
scary,korkutucu
scathe,zarar
scatheless,zararsız
scathing,sert
scatological,müstehcen
scatology,açık saçık yazılar
scatter diagram,saçılım diyagramı
scatter to the winds,çarçur etmek
scatter,saçmak
scatterbrain,unutkan
scattered,dağınık
scattering,saçma
scatty,(İİ) hafif kaçık
scavenge,çöp karıştırmak
scavenger beetle,leşle beslenen böcek
scavenger,leş yiyen hayvan
scavenging,çürük gaz çıkarılması
scenario,senaryo
scenarist,senarist
scene painter,sahne dekoru ressamı
scene,sahne, patırtı, olay, heyecan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scenery,görünüm
scenic,doğal manzaralı
scenographic,perspektif
scent bag,koku bezesi
scent gland,koku bezesi
scent,kokusunu almak, sezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scented,kokulu
scentless,kokusuz
scepter,bkz.sceptre
sceptic,kuşkucu
sceptical,kuşkuculuğa ilişkin
scepticism,kuşkuculuk
sceptre,hükümdar asası
schappe silk,kamçıbaşı
schedule,bağdarlama, listeye kaydetmek, tarifesini yapmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scheduled departure,sögeninde hareket
scheduled flight,tarifeli uçuş
scheduled maintenance,bağdarlamalı bakım
schema,şema
schematic diagram,şematik diyagram
schematic,şematik
schematize,şema ile göstermek
scheme,entrika, plan kurmak, düzenlemek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schism,bölünme
schist,şist
schistosity,yapraklanma
schizo,(önek) bölme
schizoid,şizoid
schizophrenia,şizofreni
schizophrenic,şizofrenili
schlep,çekmek
schmaltz,aşırı duygusallık
schnitzel,şnitzel
scholar,çok bilgili kimse
scholarly,bilgili
scholarship,derin bilgi
scholastic,okullara ve öğretime ilişkin
school administration,okul yönetimi
school age,okul çağı
school board,okul yönetim kurulu
School of Economics,iktisat Bilimyurdu
School of Medicine,Tıp Bilimyurdu
School of Political Sciences,Siyasal Bilgiler
School of Technology,teknik okul
School of Theology,ilahiyat Bilimyurdu
school report,karne
school tuition,okul parası
school year,öğretim yılı
school,okul
school-mate,okul arkadaşı
schoolbook,ders kitabı
schoolboy,erkek öğrenci
schoolfellow,okul arkadaşı
schoolgirl,kız öğrenci
schooling,eğitim
schoolmaster,erkek öğretmen
schoolmate,okul arkadaşı
schoolmistress,bayan öğretmen
schoolroom,sınıf
schoolwork,dersler
schooner,iki direkli yelkenli
schorl,siyah turmalin
schreinerize,ipek efekti vermek
sci-fi,bilim-kurgu
sciatic,siyatik
sciatica,siyatik
science fiction,bilimkurgu
science of translation,çeviribilim
science,bilim
scienter,bilerek
scientific explanation,bilimsel açıklama
scientific language,bilim dili
scientific method,bilimsel yöntem
scientific notation,bilimsel gösterim
scientific paper,bilimsel yayın
scientific research,bilimsel araştırma
scientific study,bilimsel çalışma
scientific,bilimsel
scientist,bilgin
scimitar,enli kılıç
scintilla,kıvılcım
scintillate,titreşerek parıldamak
scintillation counter,sintilasyon sayacı
scintillation,parıldama
scintillator,sintilatör
scion,aşılık filiz
scission,kesme
scissor,makasla kesmek
scissors,makas
scissure,yarık
sclera,gözakı
sclerenchyma,sertdoku
sclerogen,bitki hücrelerinin iç kısımlarında birikmiş sert m
scleroma,sertleşmiş doku
sclerosis,doku sertleşmesi
sclerotic,dokusu sertleşmiş
sclerous,katı
scoff at,alay etmek
scoff,(at ile) ile alay etmek
scoffer,alaycı
scold,azarlamak
scolding,azar
scolex,bağırsak şeridinin başı
scollop,bkz.scallop
sconce,aplik
scone,bir tür yağlı çörek
scoop wheel,kepçeli çark
scoop,kepçe
scoot,hızla koşmak
scooter,küçük motosiklet
scope of authority,yetki alanı
scope,anlama yeteneği
scorbutic,iskorbüt hastalığıyla ilgili
scorch,(güneş/vb.) yakmak
scorcher,çok sıcak gün
scorching,yakıcı
score off,morartmak
score,çizgi, hınç, hesap, kuyruk acısı, partisyon, hesap, günün olayları, aktüalite, yirmi sayısı, (sayı/puan) kazanmak, almak, (gol) atmak, skoru kaydetmek, çentmek, (başarı/zafer/ödül/vb.) kazanmak, elde etmek, (of/against/over ile) sözlerle atışmak, (arg.) sikişmek,,,,,,,,,,,,,,,,,,,,,,,
scoreboard,puan tahtası
scoreless,berabere
scorer,golcü
scores of people,çok sayıda insan
scoria,cüruf
scorn,tepeden bakma
scornful,hor gören
Scorpio,Akrep Burcu
scorpion,akrep
scot-free,cezalanmadan
scotch mist,yoğun sis
Scotch pine,sarıçam
scotch tape,seloteyp
scotch terrier,iskoç teriyer köpeği
Scotch,Skoç viski
scotia,oluk
Scotland Yard,Londra Emniyet Teşkilatı
Scotland,İskoçya
scotoma,kör çekit
Scotsman,iskoçyalı
Scottish,İskoç
scoundrel,alçak
scoundrelly,alçak
scour out,ovarak temizlemek
scour,baştan başa dolaşmak
scourge,kırbaç, büyük zarar vermek, felaket getirmek, acı çektirmek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scouring,erozyon
scout plane,keşif uçağı
scout,keşfe çıkmak, yıldız avcısı, keşif uçağı ya da gemisi, keşif, gözcülük,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scouting,izcilik
scoutmaster,oymak beyi
scow,salapurya
scowl,kaşlarını çatmak
scowling,kaş çatan
scrabble,(about ile) eşeleyip aramak
scragginess,zayıflık
scraggy,sıska
scram,siktir olup gitmek
Scram!,Haydi git!
scramble,çabucak tırmanmak ya da ilerlemek, kapışma, dalaşma, çekişme, itişip kakışma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scran,yiyecek
scrap heap,döküntü yığını
scrap iron,hurda demir
scrap metal,hurda maden
scrap through,yakayı kurtarmak
scrap,ufak parça,kapışmak,dalaşmak,atışma,kapışma,şamata,dalaş,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scrapbook,albüm
scrape along,az parayla geçinmek
scrape,kazımak,kıt kanaat geçinmek,güç bela idare etmek,zar zor başarmak,kılpayı kurtarmak,kazıma,sürtme,sıyrık,çizik,gıcırtı,çıkmaz,varta,kıyın yağday,bela,,,,,,,,,,,,,,,,,,,,,,,,,,,
scraper loader,kazar yükleyici
scraper ring,yağ sıyırma segmanı
scraper,raspa
scraping,kazıma
scrapper,kavgacı kimse
scrappy,kavgacı
scratch coat,birinci sıva
scratch filter,parazit süzgeci
scratch hardness,kazıma sertliği
scratch out,üstünü çizmek
scratch paper,karalama kâğıdı
scratch sbs back,birine yağ çekmek
scratch the surface,ilk adımı atmak
scratch,tırmalamak,cızırtı,çıtırtı,kaşıma,derme çatma hazırlanmış şey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scratch-pad memory,karalama belleği
scratchiness,kaşıntı verme
scratchy,(plak/kayıt/vb.) cızırtılı
scrawl,kargacık burgacık yazmak
scrawny,bir deri bir sümük
scray,deniz kırlangıcı
screach,acı haykırış
scream,bağırış
screamer,çığlık atan kimse
screaming,haykıran
scree cone,döküntü konisi
scree,dağ eteğindeki taş/çakıl yığını
screech,acı bağırış
screed,uzun ve sıkıcı konuşma/yazı
screen brightness,ekran parlaklığı
screen cloth,elek bezi
screen credits,jenerik
screen factor,ekran faktörü
screen grid,ekran ızgarası
screen luminance,ekran parlaklığı
screen printing,serigrafi
screen,perde, (sınalgı/vb.) ekran, elemek, sınamadan geçirmek, (from ile) korumak, saklamak, gizlemek, perdelemek, (film) göstermek, oynatmak, gösterime sokmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screened wiring,blendajlı tesisat
screening,eleme
screenplay,senaryo
screw blade,pervane kanadı
screw bolt,vidalı cıvata
screw conveyor,helezoni konveyör
screw coupling,vidalı kavrama
screw die,pafta lokması
screw down,vidalamak
screw head,vida başı
screw hook,vidalı kanca
screw in,vidalamak
screw jack,vidalı kriko
screw micrometer,vidalı mikrometre
screw nut,cıvata somunu
screw on,vidalamak
screw out of,zorla almak
screw pile,vidalı kazık
screw pitch,vida hatvesi
screw plate,pafta
screw press,vidalı pres
screw propeller,uskur
screw socket,vida yuvası
screw spanner,vida anahtarı
screw tap,vida kılavuzu
screw thread,vida dişi
screw together,vida ile birleştirmek
screw up ones courage,cesaretini toplamak
screw up,fiyat yükseltmek
screw wrench,ingiliz anahtarı
screw,vida, pinti, kâğıt rulosu, sikiş, yatak arkadaşı, vidalamak, çevirmek, burmak, çevirerek sıkıştırmak, vida gibi dönmek, sıkışmak, (out of ile) zorla almak, yolmak, sövüşlemek, kazıklamak, dolandırmak, kab, sikişmek, kab, sikmek,,,,,,,,,,,,,,,,,,,,,
screwball,garip kimse
screwdriver,tornavida
screwed,vidalanmış
screwy,kaçık
scribble,karalamak
scribbler,ikinci sınıf yazar
scribe,yazıcı
scriber,çizecek
scrim,ince dokunmuş kumaş
scrimmage,itiş kakış
scrimp,dişinden tırnağından artırıp (pul) biriktirmek
scrimshaw,fildişi oyma işi
scrip certificate,geçici sertifika
scrip,geçici senet
script,el yazısı
scriptural,yazı ile ilgili
scriptwriter,senaryo/oyun yazarı
scrivener,arzuhalci
scriveners error,daktilo hatası
scrofula,sıraca illeti
scrofulous,sıracalı
scroll chuck,matkap aynası
scroll gear,salyangoz çarkı
scroll saw,oyma testeresi
scroll,uzun ve kıvrımlı kâğıt belge
scrollwork,tomar şeklinde süs
scrooge,cimri
scrooping,avivaj
scrotal,testis torbasıyla ilgili
scrotum,skrotum
scrounge,(off ile) otlanmak
scrounger,otlakçı kimse
scrub the slate clean,geçmişe sünger çekmek
scrub,bodur çalılık
scrubber,fırçalayıcı
scrubby,çalılık
scruff,pis
scruffy,pis
scrumptious,nefis
scrunch,çatırdamak
scruple,vicdan
scrupulosity,vicdanlılık
scrupulous,vicdanının sesini dinleyen
scrutineer,oy sayım memuru
scrutinize,dikkatle bakmak
scrutiny,dikkatli inceleme
scuba diver,balıkadam
scuba,oksijen tüplü dalma aygıtı
scud,hızla geçip gitmek
scuff,sürtmek
scuffle,itişme
scull,tek kürek
sculler,boynacı
scullery,bulaşıkhane
scullion,bulaşıkçı
sculptor,yontucu
sculptress,kadın heykeltıraş
sculpture,yontuculuk
scum of the earth,ayak takımı
scum,kir tabakası
scumble,resmi donuklaştırmak
scupper,mahvetmek
scurf,kepek
scurfy,kepekli
scurrility,ağız bozukluğu
scurrilous,küfürlü
scurry,acele etmek
scurvy,iskorbüt
scutate,kalkan şeklinde
scutch,ditmek
scutcher,ditme makinesi
scuttle,sıvışmak
scythe,tırpan
sea anchor,deniz demiri
sea anemone,deniz şakayığı
sea bear,beyaz ayı
sea bream,izmarit
sea breeze,deniz meltemi
sea captain,kaptan
sea change,ani ve köklü değişiklik
sea chest,gemici sandığı
sea coast,deniz kıyısı
sea cock,deniz valfı
sea cow,denizayısı
sea cucumber,denizhıyarı
sea dog,deniz kurdu
sea elephant,denizfili
sea farming,deniz tarımı
sea foam,lületaşı
sea fog,deniz sisi
sea front,sahil
sea going,açık denize çıkmaya elverişli(gemi)
sea green,açık mavimsi yeşil
sea gull,martı
sea hog,yunusbalığı
sea horse,denizatı
sea kale,deniz lahanası
sea level,deniz seviyesi
sea lily,denizlalesi
sea lion,denizaslanı
sea mark,deniz işareti
sea mile,deniz mili
sea moss,deniz yosunu
sea pollution,deniz kirlenmesi
sea power,deniz gücü
sea rover,korsan
sea salt,deniz tuzu
sea shell,deniz kabuğu
sea sickness,deniz tutması
sea trade,deniz ticareti
sea urchin,denizkestanesi
sea water,deniz suyu
sea,deniz
sea-scorpion,iskorpit
seabed,denizdibi
seaboard,(ülkenin) sahil kesimi
seaborne,deniz tarafından taşınmış
seafarer,gemici
seafaring man,gemici
seafaring,denizcilikle uğraşan
seafood,yenilebilen deniz ürünü
seafowl,denizkuşu
seafront,bir kentin deniz kıyısından bulunan bölümü
seagirt,deniz tarafından çevrilmiş
seagoing,açık denize çıkmaya elverişli
seagull,martı
seahorse,denizatı
seal in,içerde tutmak
seal off,girişi çıkışı engellemek
seal sbs fate,birinin kaderini çizmek
seal,fok
sealant,dolgu macunu
sealed,mühürlenmiş
sealegs,denize alışkınlık
sealer,fok avcısı
sealery,fok avcılığı
sealing wax,mühür mumu
sealing,damgalama
sealskin,fok derisi
seam welding,dikiş kaynağı
seam,dikiş yeri
seaman,denizci
seamanship,denizcilik
seamless,dikişsiz
seamstress,dikişçi kadın
seamy,kötü
seance,ruh çağırma toplantısı
seaplane,deniz uçağı
seaport,liman kenti
sear,kurumuş
search for,aramak
search party,arama ekibi
search radar,arama radarı
search warrant,arama emri
search,aramak, yoklama, bakma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
searcher,araştıran kişi
searching,araştırıcı
searchlight,ışıldak
seascape,deniz manzarası
seashell,deniz hayvanı kabuğu
seashore,deniz kıyısı
seasick,deniz tutmuş
seaside,deniz kıyısı
season ticket,abonman bileti
season,mevsim, yumuşatmak, şiddetini azaltmak, (odun) iyice kurutmak, (odun) kurumak, alıştırmak, deneyim kazandırmak, eğitmek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonable,mevsime uygun
seasonal closing out sale,mevsim sonu satışları
seasonal trade,sezonluk ticaret
seasonal work,mevsimlik iş
seasonal worker,mevsimlik işçi
seasonal,mevsimlik
seasoned,(alanında) deneyimli
seasoning,baharat
seat adjustment,koltuk ayarı
seat belt,emniyet kemeri
seat pillar,(bisiklet) sele mesnedi
seat,oturacak yer,yerleştirmek,...kişilik oturma kapasitesi olmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seating,oturacak yer
seawall,sedde
seaward,denize doğru giden
seawards,denize doğru
seawater,deniz suyu
seaway,deniz trafiği
seaweed,deniz yosunu
seaworthiness,denize elverişlilik
seaworthy,(gemi) denize dayanıklı
sebaceous,yağlı
sebacic acid,sebasik asit
sebacic,sebasik
sec,(şarap) sek
secant,kesen
secateurs,bahçıvan makası
secatuers,budama makası
secede,üyelikten çekilmek
secession,üyelikten çekilme
secessionist,ayrılma yanlısı
seclude,inzivaya çekmek
secluded,münzevi
seclusion,inziva
second childhood,bunaklık
second class,ikinci sınıf posta
second hand,saniye ibresi
second lieutenant,teğmen
second mortgage,ikinci derece ipotek
second nature,huy
second quality,ikinci kalite
second rate,ikinci sınıf
second sight,altıncı his
second,ikinci, muavin, (düello) tanık, ç.ikinci kalite mallar, ikinci vites, yardım etmek, bir öneriyi desteklemek, geçici olarak göreve getirmek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
second-best,ikinci düzeyde
second-degree,ikinci dereceden
secondariness,ikincilik
secondary bank,ikincil banka
secondary class,ikinci sınıf
secondary coil,sekonder bobin
secondary colour,karışım rengi
secondary education,orta tahsil
secondary feather,kuşlarda ikinci kanat boğumunda çıkan tüyler
secondary industry,ikincil sanayi
secondary language,yazılı dil
secondary market,ikincil piyasa
secondary mortgage,ikinci derecede ipotek
secondary planet,gezegenin uydusu
secondary root,ikincil kök
secondary school,ortaokul
secondary,ikinci derecede olan
secondly,ikinci olarak
secondment,özel bir göreve getirme
seconds counter,kronometre
seconds,ıskarta mal
secrecy,sır saklama
secret agent,gizli ajan
secret ballot,gizli oylama
secret service,gizli sakçı teşkilatı
secret,gizli,muamma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secretaire,yazı masası
secretarial work,yazı işleri
secretarial,sekreterlikle ilgili
secretariat,sekreterlik
secretary general,genel sekreter
secretary of embassy,elçilik sekreteri
secretary,yazman
secretaryship,sekreterlik
secrete,salgılamak
secretin,sekretin
secretion,salgılama
secretive,ağzısıkı
secretly,gizlice
secretory cell,salgı hücresi
secretory,salgılayıcı
sect,tarikat
sectarian,tarikatla ilgili
sectile,bıçakla kesilebilir
section,parça, bölmek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sectional,bölgesel
sectionalism,bölgecilik
sector,daire dilimi
secular,dünyevi
secularism,laiklik
secularity,dünyasallık
secularize,laikleştirmek
secund,tek yanlı
secundine,etene
secure,güvenli, garantili, sıkı sıkı kapalı, güvence altına almak, korumak, ele geçirmek, elde etmek, sağlamak, almak, sağlamlaştırmak, sıkı sıkı kapamak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secured bond,teminatlı tahvil
secured creditor,teminatlı alacaklı
secured loan,teminatlı kredi
securities analysis,menkul kıymet analizi
securities market,menkul kıymetler borsası
securities,senetler
security bond,kefalet bonosu
security clearance,güvenlik soruşturması
security council,güvenlik konseyi
security exchange,menkul kıymetler borsası
security forces,güvenlik güçleri
security guard,güvenlik görevlisi
security,güvenlik
sedan,dört kapılı büyük araba
sedan-chair,tahtırevan
sedate,sakin
sedateness,ağırbaşlılık
sedation,yatıştırma
sedative,yatıştırıcı
sedentariness,yerleşiklik
sedentary,oturularak yapılan
sedge,ince kamış
sediment,tortu
sedimentary rocks,tortul kayaçlar
sedimentary,tortul
sedimentation,çökme
sedimentology,sedimentoloji
sedition,(hükümete karşı) kışkırtıcı yazı/konuşma/eylem
seditious,(hükümete karşı) kışkırtıcı
seduce,baştan çıkarmak
seducer,iğfal eden adam
seduction,baştan çıkarma
seductive,ayartıcı
sedulous,çalışkan
sedum,damkoruğu
see about,ile ilgilenmek
see daylight,zorlukların sonuna gelmek
see double,çatal görmek
see eye to eye with,uyuşmak
see eye to eye,aynı ağızı kullanmak
see fit to,-e karar vermek
see how the land lies,zemin yoklamak
see how the wind blows,ağız aramak
see in the New Year,yeni yılı karşılamak
see into,nüfuz etmek
see off,yolcu etmek
see ones way to,yapabileceğine inanmak
see out,bitirmek
see over,denetlemek
see pink elephants,kafayı bulmak
see red,tepesi atmak
see sb off,uğurlamak
see stars,yıldızları saymak
see the colour of money,paranın rengini görmek
see the light,anlamak
see the sights,ilginç yerleri ziyaret etmek
see through one,birinin içini okumak
see to,ilgilenmek
see,görmek
seed cake,susamlı çörek
seed capsule,çekirdek kapsülü
seed cleaner,tohum temizleme aleti
seed coat,tohum kabuğu
seed corn,tohumluk mısır
seed dressing,tohum ilaçlama
seed drill,tohum mibzeri
seed leaf,çenek
seed oyster,istiridye yavrusu
seed pearl,küçük inci
seed plot,fidelik
seed potato,ekimlik patates
seed runner,tohuma kalkmış pancar
seed time,ekim zamanı
seed vessel,meyve örtüsü
seed,tohum, tohum vermek, tohum ya da çekirdeğini çıkarmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seedbed,fidelik
seedcase,tohum kapsülü
seeder,mibzer
seeding,tohum ekme
seedless,çekirdeksiz
seedling,fide
seedsman,tohumcu
seedtime,ekin vakti
seedy,tohumlu
seek out,arayıp bulmak
seek,aramak
seeker,arayan kimse
seem,(gibi) görünmek
seeming,görünüşte
seemingly,görünüşe bakılırsa
seemly,uygun
seep,(sıvı) sızmak
seepage,sızıntı
seer,bilici
seersucker,gofre kumaş
seesaw,tahteravalli
seethe,kaynamak
segment gear,dişli sektör
segment of a circle,daire parçası
segment saw,parçalı testere
segment,parça, bölünmek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
segmental,parçasal
segmentary,bölüm ile ilgili
segmentation,bölüm
segmented worm,halkalı kurt
segmented,bölünmüş
segregate,ayırmak
segregation,ayrı tutma
seigneur,derebeyi
seigniorage,senyöriaj
seism,deprem
seismic belt,deprem kuşağı
seismic detector,sismik detektör
seismic focus,deprem merkezi
seismic wave,sismik dalga
seismic,depreme ilişkin
seismograph,depremyazar
seismology,deprembilim
seismometer,sismometre
